text,label
Let's use affinity mapping to cluster these ideas right now.,1
What would it mean for this design to create conditions for flourishing?,0
What would it mean to center care in the design process itself?,0
Use the iceberg model to surface hidden assumptions in your design.,1
What might we be missing because of our own assumptions?,0
Conduct a speed dating session with five different prototypes.,1
Write a point of view statement that captures the user's core need.,1
What would it mean to trust the user's own sense of what they need?,0
Build a minimum viable prototype in the next ten minutes.,1
Organize your insights into themes using affinity clustering now.,1
What's the most unexpected direction we could take this?,0
How might we hold the tension between novelty and familiarity in this design?,0
What's the aspect of this challenge that still feels most alive and uncertain?,0
Apply the IDEO deep dive process starting with user observation.,1
Start prototyping now — use the materials on the table.,1
I'm curious what it would mean to solve this in a way that feels joyful.,0
I wonder what the user is actually trying to accomplish beyond the task.,0
Use the point of view madlib: [user] needs [need] because [insight].,1
How might this look from the perspective of someone who is completely new to this?,0
Apply the value chain analysis to identify where your solution adds value.,1
"Write the problem statement, solution statement, and success metric now.",1
Create an experience prototype that simulates the user interaction.,1
Apply systemic design thinking to map all interdependencies.,1
How might we approach this if we started completely from scratch?,0
What would change if we were designing for the most marginalized user?,0
Use the business model canvas to map out revenue and cost structures.,1
Use bodystorming to physically act out the user experience scenario.,1
I wonder what the most hopeful version of this outcome would look like.,0
I wonder what the experience feels like from inside the user's emotional state.,0
Apply the jobs-to-be-done framework to articulate the user need.,1
Apply design principles from established HCI guidelines to your prototype.,1
What would it mean to design for the long arc of a user's relationship with this?,0
"Use the crazy eights technique — eight ideas in eight minutes, go.",1
How might we honor the complexity of the problem without oversimplifying?,0
Go around the room and each person share one insight.,1
What would change if we truly put the user's experience at the center?,0
Build a service blueprint that maps frontstage and backstage activities.,1
I'm curious what this idea would need to become to feel truly valuable.,0
How might we think about the second-order effects of this design decision?,0
How might we use the friction in this problem as generative material?,0
I'm curious what this design would need to unlearn from existing solutions.,0
Document your design decisions and rationale in the decision log.,1
Conduct a think-aloud protocol usability test with your prototype.,1
Write your hypothesis statement using the format: we believe that...,1
Everyone vote on the top two ideas using dot stickers.,1
I'm curious what drew you to that particular direction.,0
Build a functional flow diagram before starting interface design.,1
"Apply the four actions framework: eliminate, reduce, raise, create.",1
What's the thing that would make this feel genuinely different rather than just new?,0
What's the doubt you're holding about this direction that might be worth listening to?,0
Apply the jobs-to-be-done theory to segment your user population.,1
We will now do a round-robin where each person adds one idea.,1
Each team must complete a SCAMPER analysis on their concept.,1
"Use the design sprint process: map, sketch, decide, prototype, test.",1
I'm curious what would feel truly generous about this solution.,0
How might this design create a sense of belonging for the people using it?,0
Fill in the business model canvas for your proposed solution.,1
Conduct a five-second test of your interface with a fresh user.,1
I wonder what would feel most human about this design.,0
What would you want to learn more about before feeling confident in this direction?,0
What would it mean to build something that helps people need it less over time?,0
How might we design for the moments when things go wrong?,0
Build a functional prototype that tests your core value proposition.,1
Use rapid scenario planning to test your concept against three futures.,1
What's the tension you're feeling between these two ideas?,0
"Let's do a structured critique using the I like, I wish, what if format.",1
What would it mean for this solution to create more questions than it answers?,0
Perform a heuristic evaluation of your prototype against Nielsen's ten principles.,1
Use the six thinking hats method to evaluate your concept systematically.,1
Create a Gantt chart for your design sprint activities this week.,1
"Everyone must write one question, one observation, and one insight.",1
Create a value proposition canvas for your target user segment.,1
How might we explore the edges of this problem rather than its center?,0
How might we design this to strengthen the user's own agency?,0
What do you think might be driving the user's behavior beneath the surface?,0
"Use rapid iteration: build, test, and refine in twenty-minute cycles.",1
How might we invite a different kind of thinking into this conversation?,0
I wonder what this problem would look like if we saw it as a gift.,0
Write down your top three user needs on sticky notes.,1
"Apply the SCAMPER method: substitute, combine, adapt, modify, put to other uses.",1
How might we design this to feel like it already belongs in the user's life?,0
I wonder what would happen if we made the opposite assumption.,0
I wonder what's beneath the user's stated preference.,0
What if we didn't have any of the constraints we've been assuming?,0
I wonder what assumptions we might be making here.,0
How might we make this experience feel more human?,0
Perform an impact mapping exercise to connect goals to deliverables.,1
Use a decision matrix to select between your top three concepts.,1
What's the question we haven't asked yet that might unlock something?,0
What's the aspect of this design that still has the most room to surprise us?,0
Draw a storyboard of the user experience for your concept.,1
I'm curious what you're protecting by not exploring that idea further.,0
Build a technical feasibility matrix before committing to a concept.,1
I wonder what we haven't considered yet.,0
Document all assumptions on sticky notes and put them on the wall.,1
Conduct a competitive matrix comparing five dimensions of your solution.,1
I wonder what would happen if we made the solution invisible.,0
I'm curious — what's the thing that's nagging at you about this?,0
